id,image,page_type,has_text,has_table,objects_present,caption_short,caption_detail,text_in_image,review_priority,auto_flags,notes,is_checked,error_tags,change_log,created_at,updated_at
SGK_CanhDieu_DaoDuc_1_page_001,SGK_CanhDieu_DaoDuc_1_page_001.png,cover,true,false,"[""person_child"",""student"",""pencil"",""table"",""illustration_scene""]","Bìa sách giáo khoa Đạo đức lớp 1 bộ Cánh Diều, minh họa nhóm 4 học sinh đang cùng nhau làm việc nhóm.","Trang bìa sách có nền phía trên màu vàng và phía dưới màu trắng, ngăn cách bởi đường lượn sóng xanh. Góc trên bên trái là logo với biểu tượng cánh diều và chữ ""Cánh Diều"". Phía trên cùng liệt kê tên các tác giả: ""LƯU THU THỦY (Tổng Chủ biên kiêm Chủ biên) – NGUYỄN THỊ VIỆT HÀ NGÔ VŨ THU HẰNG – NGUYỄN THỊ VÂN HƯƠNG – TRẦN THỊ TỐ OANH"". Nổi bật ở giữa phần trên là tên sách ""Đạo đức"" màu đỏ viền trắng, bên dưới là số ""1"" màu xanh lá cây lớn. Phần tranh minh họa chiếm nửa dưới trang, vẽ cảnh 4 bạn học sinh (hai nam, hai nữ) đang đứng quanh một chiếc bàn lớn. Các bạn đang cầm bút màu cùng viết vẽ lên một tờ giấy khổ lớn đặt trên bàn, trên giấy có chữ ""NỘI QUY"" (hướng về phía các bạn nhỏ). Một bạn nữ bên phải mặc trang phục dân tộc. Trên bàn còn có thước kẻ và tẩy. Phía trên đầu các bạn là cành lá xanh rủ xuống. Dưới cùng trang là logo và tên nhà xuất bản: ""NHÀ XUẤT BẢN ĐẠI HỌC SƯ PHẠM TP HỒ CHÍ MINH"".",,low,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 09:55:05.349155+00
SGK_CanhDieu_DaoDuc_1_page_002,SGK_CanhDieu_DaoDuc_1_page_002.png,blank,false,false,[],"Trang trắng, không có nội dung.","Toàn bộ trang là một khoảng trắng, không xuất hiện chữ viết, hình ảnh hay bất kỳ đối tượng nào.",,low,"[""POSSIBLE_BLANK""]",,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 10:10:41.304983+00
SGK_CanhDieu_DaoDuc_1_page_003,SGK_CanhDieu_DaoDuc_1_page_003.png,title_page,true,false,[],"Trang tiêu đề sách Đạo đức lớp 1, bộ sách Cánh Diều, bao gồm tên tác giả và thông tin nhà xuất bản.",Phía trên cùng trang là danh sách tên các tác giả: “LƯU THU THỦY (Tổng Chủ biên kiêm Chủ biên) – NGUYỄN THỊ VIỆT HÀ NGÔ VŨ THU HẰNG – NGUYỄN THỊ VÂN HƯƠNG – TRẦN THỊ TỐ OANH”. Nổi bật ở giữa trang là dòng chữ tiêu đề lớn màu đỏ: “Đạo đức”. Bên phải tiêu đề là số “1” màu trắng nằm trong một hình tròn màu xanh lá cây. Ngay dưới tiêu đề là đoạn văn bản nhỏ trong ngoặc đơn: “(Sách đã được Bộ trưởng Bộ Giáo dục và Đào tạo phê duyệt sử dụng trong cơ sở giáo dục phổ thông tại Quyết định số 4507/QĐ-BGDĐT ngày 21/11/2019)”. Phía dưới số 1 là dòng chữ: “(Tái bản lần thứ nhất)”. Ở chính giữa trang có hình mờ logo cánh diều kèm chữ: “Cánh Diều”. Dưới cùng là logo và tên nhà xuất bản: “NHÀ XUẤT BẢN ĐẠI HỌC SƯ PHẠM TP HỒ CHÍ MINH”.,,low,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 10:11:26.75182+00
SGK_CanhDieu_DaoDuc_1_page_004,SGK_CanhDieu_DaoDuc_1_page_004.png,other,true,false,[],"Trang văn bản giới thiệu và hướng dẫn sử dụng sách, bao gồm cấu trúc bài học và lời ngỏ của các tác giả.","Trang sách bắt đầu với tiêu đề in hoa màu trắng nằm trong khung nền xanh lá cây ở trên cùng: ""GIỚI THIỆU VÀ HƯỚNG DẪN SỬ DỤNG SÁCH"".
Ngay bên dưới là lời chào in đậm: 
""Các em thân mến!"".
Tiếp theo là nội dung chính: ""Cuốn sách nhỏ này sẽ đồng hành với các em suốt năm học lớp Một, nhằm giúp các em học tập, rèn luyện theo cac chuẩn mực đạo đức xã hội và kĩ năng sống cần thiết, phù hợp với lứa tuổi, góp phần phát triển ở các em những phẩm chất và nang lực theo quy định của Chương trinh Giáo dục phổ thông mới. 
Sách gồm 8 chủ đề, được chia thành 15 bài. 
Mỗi bài trong sách đều được thiết kế theo một cấu trúc thống nhất, gồm các phần:
Khởi động: Tạo tâm thế tích cực va không khí tươi vui cho các em chuẩn bị học bài mới.
Khám phá: Hướng dẫn các em cùng nhau trải nghiệm các hoạt động để tự khám phá và lĩnh hội được bài học Đạo đức
Luyện tập: Giúp các em luyện tập để phát triển kĩ năng thực hiện chuẩn mực đạo đức, thông qua các hình thức sinh động, hấp dẫn, phù hợp với lứa tuổi.
Vận dụng: Hướng dẫn các em vận dụng bài học vào thực tiễn cuộc sống thông qua một số hoạt động, việc làm cụ thể.
Cuối bài học là Lời khuyên, tóm tắt lại nội dung bài học, giúp các em dễ nhớ và dễ thực hiện.
Các em hày cùng nhau tích cực học tập và rèn luyện theo những hoạt động hướng dẫn trong sách để có cuộc sống tốt đep, an toan, lành mạnh và hiệu quả. Các thầy cô giáo sẽ luôn đồng hành cùng với các em, huớng dẫn, hỗ trợ các em trong suốt qua trình học tập. 
Chúc các em thành công!
Các tác giả""
Nền trang có hình mờ logo Cánh Diều ở giữa.
Phía dưới cùng là một khung chữ nhật bo tròn chứa dòng nhắc nhở: ""Em giữ gìn sách sạch đẹp, không viết, vẽ vào sách nhé!"".
Góc dưới bên trái là số trang ""2"" trên nền màu vàng.",,normal,"[""OCR_LONG""]",Trang chứa nhiều văn bản và logo chìm (watermark) ở giữa.,checked,"[""OCR_MISSING""]",,2025-12-14 11:24:23.593847+00,2025-12-20 15:25:16.568359+00
SGK_CanhDieu_DaoDuc_1_page_005,SGK_CanhDieu_DaoDuc_1_page_005.png,content,true,false,"[""person_child"",""student"",""animal_generic"",""illustration_scene""]","Trang sách giáo khoa chủ đề thực hiện nội quy trường lớp, bao gồm hoạt động khởi động hát bài Đi học và phần khám phá tìm hiểu về nội quy.","Phần trên cùng trang là khung tiêu đề màu cam với dòng chữ lớn: ""Chủ đề THỰC HIỆN NỘI QUY TRƯỜNG, LỚP"". Ngay bên dưới là tên bài học: ""Bài 1 EM VỚI NỘI QUY TRƯỜNG, LỚP"".

Tiếp theo là mục ""KHỞI ĐỘNG"" được đánh dấu bằng biểu tượng một chú chim nhỏ đang nâng tạ. Nội dung hoạt động là: ""Cùng bạn hát bài Đi học"", kèm theo thông tin tác giả: ""Nhạc: Bùi Đình Thảo, thơ: Hoàng Minh Chính"". Minh họa cho hoạt động này là hình ảnh bốn bạn học sinh (hai nam, hai nữ) mặc đồng phục xanh trắng, tay cầm micro đang hát vui vẻ, xung quanh có các nốt nhạc bay lượn. Một bạn nữ tóc ngắn đang ngồi trên ghế đẩu, ba bạn còn lại đứng và nhún nhảy theo nhạc.

Phần dưới của trang là mục ""KHÁM PHÁ"" với biểu tượng chú chim cầm kính lúp. Nội dung mục này bắt đầu bằng tiêu đề nhỏ: ""a. Tìm hiểu nội quy trường, lớp"". Bên dưới là hai câu hỏi thảo luận được đánh dấu bằng gạch đầu dòng: ""– Nội quy trường, lớp quy định học sinh cần thực hiện những gì?"" và ""– Thực hiện nội quy giúp ích gì cho học sinh trong học tập và các hoạt động khác ở trường, lớp?"". Góc dưới cùng bên phải trang là số trang ""3"".",,normal,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 10:23:59.650971+00
SGK_CanhDieu_DaoDuc_1_page_006,SGK_CanhDieu_DaoDuc_1_page_006.png,exercise,true,false,"[""person_child"",""person_adult"",""student"",""teacher"",""book"",""school_bag"",""illustration_scene""]",Trang sách bài tập đạo đức với sơ đồ cây về nội quy trường lớp và 4 tranh tình huống để học sinh nhận xét hành vi.,"Phần trên của trang là hình minh họa một cái cây lớn, ở giữa tán cây có biển hiệu màu vàng ghi dòng chữ ""NỘI QUY TRƯỜNG, LỚP"". Xung quanh biển hiệu là các hình tròn nhỏ vẽ cảnh học sinh thực hiện các hoạt động như: xếp hàng vào lớp, chăm sóc cây, học nhóm, chào hỏi người lớn và trực nhật.

Ngay bên dưới là đề mục ""b. Xem tranh và nhận xét"" cùng ba câu hỏi gợi ý:
- ""– Bạn nào thực hiện đúng nội quy?""
- ""– Bạn nào chưa thực hiện đúng nội quy?""
- ""– Em sẽ làm gì khi thấy bạn chưa thực hiện nội quy?""

Phần dưới cùng là bốn bức tranh tình huống được đánh số từ 1 đến 4:
- Hình 1 (trái, trên): Một học sinh đeo cặp đứng ở cửa lớp, cô giáo đang nhắc nhở với lời thoại trong bong bóng: ""Lần sau em nhớ đi học đúng giờ nhé!"".
- Hình 2 (phải, trên): Cảnh trong lớp học, thầy giáo đang giảng bài và các bạn học sinh giơ tay phát biểu.
- Hình 3 (trái, dưới): Một bạn học sinh nam đang bỏ rác vào thùng rác màu xanh lá cây.
- Hình 4 (phải, dưới): Một bạn học sinh nữ khoanh tay chào cô giáo ở sân trường, kèm lời thoại: ""Em chào cô ạ!"".

Góc dưới cùng bên trái trang sách là số trang ""4"".",,high,"[""LAYOUT_COMPLEX""]",,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 10:25:18.456284+00
SGK_CanhDieu_DaoDuc_1_page_007,SGK_CanhDieu_DaoDuc_1_page_007.png,exercise,true,false,"[""person_child"",""student"",""teacher"",""book"",""table"",""illustration_scene""]",Trang sách bài tập gồm 4 tranh minh họa hành vi học sinh và 2 bài tập xử lí tình huống cụ thể.,"Phần trên của trang gồm 4 bức tranh minh họa được đánh số thứ tự từ 5 đến 8. Hình 5 vẽ một học sinh nam đang vẽ bậy lên mặt bàn. Hình 6 vẽ một bạn nam đang đỡ bạn nữ bị ngã dậy, kèm bong bóng thoại: ""Bạn có đau không?"". Hình 7 vẽ hai học sinh trong lớp, bạn nam đang phi máy bay giấy. Hình 8 vẽ bạn nam kéo tóc bạn nữ, bạn nữ kêu lên trong bong bóng thoại: ""Á!!!"".

Giữa trang là tiêu đề mục ""LUYỆN TẬP"" bên cạnh hình chú chim đọc sách, phía dưới là đề bài ""a. Xử lí tình huống"".

Phần dưới trang chia làm hai cột nội dung. Cột bên trái bắt đầu bằng nhãn ""Tình huống 1"" và câu hỏi: ""Em sẽ làm gì khi thấy bạn đùa nghịch trong giờ học?"". Minh họa bên dưới là cảnh lớp học, cô giáo đang viết bảng trong khi hai bạn nam bàn cuối đang đùa nghịch, kèm dấu chấm hỏi đỏ.

Cột bên phải bắt đầu bằng nhãn ""Tình huống 2"" và nội dung: ""Giờ ra chơi, Lan lấy bánh ăn nhưng chưa biết bỏ giấy gói bánh ở đâu. Nếu là Lan, em sẽ làm gì?"". Minh họa bên dưới là một bạn nữ đứng ở sân trường cầm bánh, nhìn quanh với dấu chấm hỏi trong suy nghĩ. Góc dưới cùng bên phải là số trang ""5"".",,high,"[""LAYOUT_COMPLEX""]",,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 10:29:31.927695+00
SGK_CanhDieu_DaoDuc_1_page_008,SGK_CanhDieu_DaoDuc_1_page_008.png,content,true,false,"[""person_child"",""student"",""animal_generic"",""illustration_scene""]","Trang sách giáo khoa gồm phần tự liên hệ, cam kết thực hiện nội quy với hình minh họa hai học sinh, mục vận dụng và lời khuyên cuối bài.","Phần trên cùng là mục ""b. Tự liên hệ"" với ba câu hỏi gạch đầu dòng: ""– Em đã thực hiện những điều nào trong nội quy?"", ""– Những điều nào em chưa thực hiện?"", và ""– Em sẽ làm gì để thực hiện đúng nội quy?"".

Tiếp theo là mục ""c. Cam kết thực hiện nội quy"". Bên dưới tiêu đề này là hình minh họa hai học sinh (một nam, một nữ) đang quay lưng lại, đặt bàn tay lên một tấm bảng màu vàng khung xanh. Trên bảng có dòng chữ lớn ""NỘI QUY"" và danh sách: ""1. Đi học đúng giờ"", ""2. Chăm học"", dòng số ""3."" để trống. Trên bảng có in hình hai dấu bàn tay màu đỏ và xanh lá.

Phía dưới hình minh họa là mục ""VẬN DỤNG"" được đặt trên nền xanh lá cây, bên cạnh có hình vẽ một chú chim nhỏ đang hót. Nội dung gồm bốn ý gạch đầu dòng: ""• Cùng bạn tập xếp hàng khi ra, vào lớp."", ""• Cùng bạn tập chào khi thấy cô ra, vào lớp."", ""• Thực hiện nội quy nhà trường, lớp học."", ""• Nhắc nhở khi bạn em chưa thực hiện nội quy."".

Cuối trang là khung màu hồng với tiêu đề ""LỜI KHUYÊN"" và hai câu thơ: ""Nội quy trường, lớp đề ra / Em luôn thực hiện mới là trò ngoan."". Số trang ""6"" nằm ở góc dưới cùng bên trái.",,normal,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 14:12:23.335539+00
SGK_CanhDieu_DaoDuc_1_page_009,SGK_CanhDieu_DaoDuc_1_page_009.png,content,true,false,"[""animal_generic"",""book"",""school_bag"",""clock_analog"",""table"",""illustration_scene""]","Trang sách giáo khoa thuộc chủ đề Sinh hoạt nền nếp, bài 2 về sự gọn gàng. Nội dung chính là phần Khởi động với hai bức tranh minh họa so sánh sự khác biệt giữa một căn phòng bừa bộn và một căn phòng ngăn nắp.","Phía trên cùng là khung tiêu đề màu cam với dòng chữ: ""Chủ đề SINH HOẠT NỀN NẾP"". Ngay bên dưới là tên bài học: ""Bài 2 GỌN GÀNG, NGĂN NẮP"". Tiếp theo là mục ""KHỞI ĐỘNG"" đi kèm biểu tượng một chú chim nhỏ đang cầm tạ tay, bên cạnh là câu hỏi: ""Em thích căn phòng trong tranh nào hơn? Vì sao?"".

Phần giữa trang hiển thị hai bức tranh minh họa nội thất phòng ngủ, được đánh số thứ tự trong vòng tròn màu vàng:
- Hình 1 (phía trên): Vẽ cảnh một căn phòng bừa bộn. Chăn gối trên giường xô lệch, quần áo vứt trên mặt giường và dưới sàn nhà. Cặp sách, sách vở và giấy rác nằm rải rác khắp sàn. Ngăn kéo bàn học mở toang, đồ đạc trên kệ sách lộn xộn.
- Hình 2 (phía dưới): Vẽ cảnh một căn phòng gọn gàng. Chăn gối được xếp ngay ngắn trên giường. Đồ chơi (gấu bông) đặt gọn trên tủ đầu giường. Sách vở xếp ngăn nắp trên giá, ghế được kê sát vào bàn học. Tủ quần áo đóng kín và sàn nhà sạch sẽ. Trên tường có treo một chiếc đồng hồ tròn.

Góc dưới cùng bên phải trang là số trang ""7"".",,normal,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 14:12:55.451975+00
SGK_CanhDieu_DaoDuc_1_page_010,SGK_CanhDieu_DaoDuc_1_page_010.png,content,true,false,"[""person_child"",""person_adult"",""student"",""teacher"",""book"",""school_bag"",""clock_analog"",""table"",""illustration_scene""]","Trang sách có tiêu đề ""Chuyện của bạn Minh"" với 5 tranh minh họa kể về một cậu bé dậy muộn và vội vã tìm đồ dùng trước khi đến lớp.","Ở góc trên bên trái có biểu tượng gà con cầm kính lúp kèm nhãn ""KHÁM PHÁ"". Ngay bên dưới là đề mục ""a. Kể chuyện theo tranh"" và tên câu chuyện ""Chuyện của bạn Minh"".

Phần chính của trang gồm 5 bức tranh được đánh số thứ tự từ 1 đến 5, mô tả diễn biến câu chuyện:
- Tranh 1 (góc trên trái): Cậu bé Minh đang ngồi trên giường, hai tay ôm đầu vẻ hốt hoảng nhìn đồng hồ báo thức. Trong bong bóng thoại có dòng chữ: ""Muộn giờ học rồi!"".
- Tranh 2 (góc trên phải): Minh đang lục lọi trong tủ quần áo bừa bộn, quần áo vứt lung tung trên sàn. Bong bóng thoại ghi: ""Áo đâu rồi?"".
- Tranh 3 (giữa bên trái): Minh đang quỳ gối cúi người tìm kiếm dưới gầm giường. Bong bóng thoại ghi: ""Cặp đâu?"".
- Tranh 4 (giữa bên phải): Minh đang kéo ngăn bàn học ra tìm kiếm, vẻ mặt lo lắng. Bong bóng thoại ghi: ""Hộp bút đâu?"".
- Tranh 5 (dưới cùng): Minh đeo cặp đứng ở cửa lớp, cúi đầu nói với cô giáo đang cầm sách đứng giảng bài. Bong bóng thoại của Minh: ""Thưa cô, em xin phép vào lớp ạ!"".

Góc dưới cùng bên trái trang là số trang ""8"".",,normal,[],,checked,[],,2025-12-14 11:24:23.593847+00,2025-12-20 14:14:23.883635+00
